# Extracted known models from goose source files
# Format: provider|model1,model2,model3
# Generated: Di 6. Jan 15:40:29 CET 2026

anthropic|claude-sonnet-4-5,claude-sonnet-4-5-20250929,claude-haiku-4-5,claude-haiku-4-5-20251001,claude-opus-4-5,claude-opus-4-5-20251101,claude-sonnet-4-0,claude-sonnet-4-20250514,claude-opus-4-0,claude-opus-4-20250514,claude-3-7-sonnet-latest,claude-3-7-sonnet-20250219,claude-3-opus-latest
azure|gpt-4o,gpt-4o-mini,gpt-4
bedrock|us.anthropic.claude-sonnet-4-5-20250929-v1:0,us.anthropic.claude-sonnet-4-20250514-v1:0,us.anthropic.claude-3-7-sonnet-20250219-v1:0,us.anthropic.claude-opus-4-20250514-v1:0,us.anthropic.claude-opus-4-1-20250805-v1:0
claude-code|sonnet,opus
codex|gpt-5.2-codex,gpt-5.2,gpt-5.1-codex-max,gpt-5.1-codex-mini
cursor-agent|auto,gpt-5,opus-4.1,sonnet-4
databricks|databricks-claude-sonnet-4-5,databricks-claude-3-7-sonnet,databricks-meta-llama-3-3-70b-instruct,databricks-meta-llama-3-1-405b-instruct,databricks-dbrx-instruct
gemini-cli|gemini-2.5-pro,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-3-pro-preview,gemini-3-flash-preview
githubcopilot|gpt-4.1,gpt-5-mini,gpt-5,gpt-4o,grok-code-fast-1,gpt-5-codex,claude-sonnet-4,claude-sonnet-4.5,claude-haiku-4.5,gemini-2.5-pro
google|gemini-3-pro-preview,gemini-3-pro-image-preview,gemini-2.5-pro,gemini-2.5-pro-preview-tts,gemini-2.5-flash,gemini-2.5-flash-preview-09-2025,gemini-2.5-flash-image,gemini-2.5-flash-image-preview,gemini-2.5-flash-native-audio-preview-09-2025,gemini-2.5-flash-preview-tts,gemini-2.5-flash-lite,gemini-2.5-flash-lite-preview-09-2025,gemini-2.0-flash,gemini-2.0-flash-001,gemini-2.0-flash-exp,gemini-2.0-flash-preview-image-generation,gemini-2.0-flash-live-001,gemini-2.0-flash-lite,gemini-2.0-flash-lite-001
ollama|qwen3-coder:30b,qwen3-coder:480b-cloud
openai|gpt-4o,gpt-4o-mini,gpt-4.1,gpt-4.1-mini,o1,o3,gpt-3.5-turbo,gpt-4-turbo,o4-mini,gpt-5.1-codex,gpt-5-codex
openrouter|anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4,anthropic/claude-opus-4.1,anthropic/claude-opus-4,anthropic/claude-3.7-sonnet,google/gemini-2.5-pro,google/gemini-2.5-flash,deepseek/deepseek-r1-0528,qwen/qwen3-coder,moonshotai/kimi-k2
snowflake|claude-sonnet-4-5,claude-haiku-4-5,claude-4-sonnet,claude-4-opus,claude-3-7-sonnet,claude-3-5-sonnet
tetrate|claude-opus-4-1,claude-3-7-sonnet-latest,claude-sonnet-4-20250514,gemini-2.5-pro,gemini-2.0-flash,gemini-2.0-flash-lite,gpt-5,gpt-5-mini,gpt-5-nano,gpt-4.1
xai|grok-code-fast-1,grok-4-0709,grok-3,grok-3-fast,grok-3-mini,grok-3-mini-fast,grok-2-vision-1212,grok-2-image-1212,grok-3-latest,grok-3-fast-latest,grok-3-mini-latest,grok-3-mini-fast-latest,grok-2-vision,grok-2-vision-latest,grok-2-image,grok-2-image-latest,grok-2,grok-2-latest
